invocation_index,pass_index,query_index,asset_id,status,duration_ns,score,failure_category,failure_exception_type
226,2,26,synthetic/query/026,success,3032593697,0.04803352802991867,,
227,2,27,synthetic/query/027,success,2177531687,0.05518406629562378,,
228,2,28,synthetic/query/028,success,2251337365,0.049858491867780685,,
229,2,29,synthetic/query/029,success,4276530972,0.049298178404569626,,
230,2,30,synthetic/query/030,success,2485801891,0.04603433609008789,,
231,2,31,synthetic/query/031,success,2868845497,0.04248649999499321,,
232,2,32,synthetic/query/032,success,2486346083,0.05431527644395828,,
233,2,33,synthetic/query/033,success,2484656554,0.03869582340121269,,
234,2,34,synthetic/query/034,success,2610396123,0.07321518659591675,,
235,2,35,synthetic/query/035,success,2353413935,0.04275467246770859,,
236,2,36,synthetic/query/036,success,2385535298,0.042938970029354095,,
237,2,37,synthetic/query/037,success,2430556963,0.04425101727247238,,
238,2,38,synthetic/query/038,success,2470713765,0.05236344784498215,,
239,2,39,synthetic/query/039,success,3279261055,0.04419035464525223,,
240,2,40,synthetic/query/040,success,2563533114,0.04916311055421829,,
241,2,41,synthetic/query/041,success,2463279796,0.04712485522031784,,
242,2,42,synthetic/query/042,success,2908488060,0.044410593807697296,,
243,2,43,synthetic/query/043,success,2978446793,0.04818791151046753,,
244,2,44,synthetic/query/044,success,2412064803,0.055861104279756546,,
245,2,45,synthetic/query/045,success,2403465242,0.048003874719142914,,
246,2,46,synthetic/query/046,success,2401222555,0.04496413469314575,,
247,2,47,synthetic/query/047,success,2277817814,0.0508146658539772,,
248,2,48,synthetic/query/048,success,2450395530,0.04005836322903633,,
249,2,49,synthetic/query/049,success,2676759140,0.04364269971847534,,
250,2,50,synthetic/query/050,success,2347552105,0.0448397621512413,,
251,2,51,synthetic/query/051,success,2767754433,0.04583091661334038,,
252,2,52,synthetic/query/052,success,2483332809,0.05355796217918396,,
253,2,53,synthetic/query/053,success,2656332048,0.04878581315279007,,
254,2,54,synthetic/query/054,success,2406579209,0.0490897074341774,,
255,2,55,synthetic/query/055,success,2609328244,0.03836669772863388,,
256,2,56,synthetic/query/056,success,2514371150,0.04631660506129265,,
257,2,57,synthetic/query/057,success,2350890523,0.04396568983793259,,
258,2,58,synthetic/query/058,success,2367478131,0.045877743512392044,,
259,2,59,synthetic/query/059,success,2702486272,0.046317942440509796,,
260,2,60,synthetic/query/060,success,2534345983,0.057908035814762115,,
261,2,61,synthetic/query/061,success,2304917133,0.042502351105213165,,
262,2,62,synthetic/query/062,success,2656670111,0.04850902408361435,,
263,2,63,synthetic/query/063,success,2492500084,0.05808837339282036,,
264,2,64,synthetic/query/064,success,2424249945,0.048159144818782806,,
265,2,65,synthetic/query/065,success,2444845573,0.050640035420656204,,
266,2,66,synthetic/query/066,success,2393329614,0.047288279980421066,,
267,2,67,synthetic/query/067,success,2398435762,0.04339323192834854,,
268,2,68,synthetic/query/068,success,2619903099,0.046437203884124756,,
269,2,69,synthetic/query/069,success,2298540252,0.04724885895848274,,
270,2,70,synthetic/query/070,success,2411971314,0.04362671449780464,,
271,2,71,synthetic/query/071,success,2577416964,0.04581139609217644,,
272,2,72,synthetic/query/072,success,2357455294,0.04156184196472168,,
273,2,73,synthetic/query/073,success,2986114542,0.04964014142751694,,
274,2,74,synthetic/query/074,success,2783519504,0.049927253276109695,,
275,2,75,synthetic/query/075,success,2696647147,0.04491996020078659,,
276,2,76,synthetic/query/076,success,2630829610,0.05217578262090683,,
277,2,77,synthetic/query/077,success,3377903639,0.047051556408405304,,
278,2,78,synthetic/query/078,success,3265539501,0.047405075281858444,,
279,2,79,synthetic/query/079,success,3214975747,0.03627398610115051,,
280,2,80,synthetic/query/080,success,2760000328,0.049604933708906174,,
281,2,81,synthetic/query/081,success,2548197835,0.04342333599925041,,
282,2,82,synthetic/query/082,success,2554734922,0.04447992518544197,,
283,2,83,synthetic/query/083,success,2551026630,0.05129095911979675,,
284,2,84,synthetic/query/084,success,2691448029,0.03946333006024361,,
285,2,85,synthetic/query/085,success,2512818292,0.03787878900766373,,
286,2,86,synthetic/query/086,success,2497965458,0.049794651567935944,,
287,2,87,synthetic/query/087,success,2378024265,0.0441737174987793,,
288,2,88,synthetic/query/088,success,2213568027,0.0521601140499115,,
289,2,89,synthetic/query/089,success,2413484498,0.046683650463819504,,
290,2,90,synthetic/query/090,success,2939342461,0.05058544874191284,,
291,2,91,synthetic/query/091,success,2457515985,0.050922103226184845,,
292,2,92,synthetic/query/092,success,2241285585,0.05282851308584213,,
293,2,93,synthetic/query/093,success,2188584220,0.04448831081390381,,
294,2,94,synthetic/query/094,success,2246075475,0.04207940772175789,,
295,2,95,synthetic/query/095,success,2290691430,0.055892907083034515,,
296,2,96,synthetic/query/096,success,2439227435,0.03994068503379822,,
297,2,97,synthetic/query/097,success,2647181390,0.043596528470516205,,
298,2,98,synthetic/query/098,success,2909388280,0.04820782691240311,,
299,2,99,synthetic/query/099,success,2795909400,0.05259469151496887,,
